Time,Pure Signal,Noisy Signal,Kalman Filter,Complementary Filter,Hybrid Filter,Moving Average Filter
1.165000,0.876307,0.871671,0.199480,0.659177,0.337389,1.000473
1.170000,0.844328,1.024959,0.207845,0.677466,0.348731,0.940187
1.175000,0.809017,1.371283,0.219630,0.712157,0.367388,0.892914
1.180000,0.770513,0.781103,0.225315,0.715604,0.372402,0.826561
1.185000,0.728969,0.470003,0.227792,0.703324,0.370452,0.780609
1.190000,0.684547,0.825750,0.233843,0.709445,0.376524,0.716537
1.195000,0.637424,0.441161,0.235940,0.696031,0.373968,0.616992
1.200000,0.587785,0.550007,0.239116,0.688730,0.374000,0.574207
1.205000,0.535827,0.576452,0.242527,0.683116,0.374703,0.534503
1.210000,0.481754,0.674467,0.246892,0.682683,0.377629,0.489915
1.215000,0.425779,0.481608,0.249263,0.672630,0.376273,0.445950
1.220000,0.368125,0.192076,0.248685,0.648602,0.368660,0.386615
1.225000,0.309017,0.513631,0.251361,0.641853,0.368508,0.294890
1.230000,0.248690,0.133407,0.250170,0.616431,0.360048,0.191421
1.235000,0.187381,0.134661,0.249004,0.592343,0.352006,0.080014
1.240000,0.125333,-0.065622,0.245830,0.559444,0.339915,0.000559
1.245000,0.062791,-0.049814,0.242849,0.528981,0.328688,-0.096306
1.250000,0.000000,-0.298243,0.237393,0.487620,0.312461,-0.117120
1.255000,-0.062791,-0.364110,0.231330,0.445034,0.295441,-0.127511
1.260000,-0.125333,-0.164423,0.227341,0.414561,0.283507,-0.167148
1.265000,-0.187381,-0.012293,0.224927,0.393218,0.275414,-0.193064
1.270000,-0.248690,0.061925,0.223285,0.376654,0.269296,-0.263969
1.275000,-0.309017,-0.343083,0.217582,0.340667,0.254507,-0.286402
1.280000,-0.368125,-0.231221,0.213063,0.312072,0.242766,-0.340293
1.285000,-0.425779,-0.794579,0.202921,0.256740,0.219067,-0.492095
1.290000,-0.481754,-0.521143,0.195635,0.217846,0.202298,-0.643070
1.295000,-0.535827,-0.541655,0.188217,0.179871,0.185713,-0.678463
1.300000,-0.587785,-1.074907,0.175512,0.117132,0.157998,-0.743218
1.305000,-0.637424,-0.994904,0.163741,0.061530,0.133078,-0.734499
1.310000,-0.684547,-0.590833,0.156155,0.028912,0.117982,-0.819918
1.315000,-0.728969,-0.684507,0.147704,-0.006759,0.101365,-0.798958
1.320000,-0.770513,-0.733545,0.138847,-0.043098,0.084264,-0.766577
1.325000,-0.809017,-1.119076,0.126207,-0.096897,0.059276,-0.721934
1.330000,-0.844328,-0.394930,0.120972,-0.111799,0.051141,-0.729889
1.335000,-0.876307,-0.848240,0.111237,-0.148621,0.033279,-0.748810
